id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,kelompok_umur,jenis_kelamin,jumlah_penduduk,satuan,tahun
126,32,JAWA BARAT,3204,KABUPATEN BANDUNG,70 - 74,PEREMPUAN,21582,JIWA,2020
127,32,JAWA BARAT,3204,KABUPATEN BANDUNG,75+,LAKI-LAKI,23627,JIWA,2020
128,32,JAWA BARAT,3204,KABUPATEN BANDUNG,75+,PEREMPUAN,25893,JIWA,2020
129,32,JAWA BARAT,3205,KABUPATEN GARUT,00 - 04,LAKI-LAKI,113717,JIWA,2020
130,32,JAWA BARAT,3205,KABUPATEN GARUT,00 - 04,PEREMPUAN,106479,JIWA,2020
131,32,JAWA BARAT,3205,KABUPATEN GARUT,05 - 09,LAKI-LAKI,130148,JIWA,2020
132,32,JAWA BARAT,3205,KABUPATEN GARUT,05 - 09,PEREMPUAN,123131,JIWA,2020
133,32,JAWA BARAT,3205,KABUPATEN GARUT,10 - 14,LAKI-LAKI,127676,JIWA,2020
134,32,JAWA BARAT,3205,KABUPATEN GARUT,10 - 14,PEREMPUAN,120249,JIWA,2020
135,32,JAWA BARAT,3205,KABUPATEN GARUT,15 - 19,LAKI-LAKI,93151,JIWA,2020
136,32,JAWA BARAT,3205,KABUPATEN GARUT,15 - 19,PEREMPUAN,92327,JIWA,2020
137,32,JAWA BARAT,3205,KABUPATEN GARUT,20 - 24,LAKI-LAKI,125689,JIWA,2020
138,32,JAWA BARAT,3205,KABUPATEN GARUT,20 - 24,PEREMPUAN,116282,JIWA,2020
139,32,JAWA BARAT,3205,KABUPATEN GARUT,25 - 29,LAKI-LAKI,107570,JIWA,2020
140,32,JAWA BARAT,3205,KABUPATEN GARUT,25 - 29,PEREMPUAN,99661,JIWA,2020
141,32,JAWA BARAT,3205,KABUPATEN GARUT,30 - 34,LAKI-LAKI,93067,JIWA,2020
142,32,JAWA BARAT,3205,KABUPATEN GARUT,30 - 34,PEREMPUAN,88822,JIWA,2020
143,32,JAWA BARAT,3205,KABUPATEN GARUT,35 - 39,LAKI-LAKI,96415,JIWA,2020
144,32,JAWA BARAT,3205,KABUPATEN GARUT,35 - 39,PEREMPUAN,93481,JIWA,2020
145,32,JAWA BARAT,3205,KABUPATEN GARUT,40 - 44,LAKI-LAKI,87853,JIWA,2020
146,32,JAWA BARAT,3205,KABUPATEN GARUT,40 - 44,PEREMPUAN,85136,JIWA,2020
147,32,JAWA BARAT,3205,KABUPATEN GARUT,45 - 49,LAKI-LAKI,80903,JIWA,2020
148,32,JAWA BARAT,3205,KABUPATEN GARUT,45 - 49,PEREMPUAN,79694,JIWA,2020
149,32,JAWA BARAT,3205,KABUPATEN GARUT,50 - 54,LAKI-LAKI,67698,JIWA,2020
150,32,JAWA BARAT,3205,KABUPATEN GARUT,50 - 54,PEREMPUAN,66729,JIWA,2020
151,32,JAWA BARAT,3205,KABUPATEN GARUT,55 - 59,LAKI-LAKI,54811,JIWA,2020
152,32,JAWA BARAT,3205,KABUPATEN GARUT,55 - 59,PEREMPUAN,54227,JIWA,2020
153,32,JAWA BARAT,3205,KABUPATEN GARUT,60 - 64,LAKI-LAKI,42266,JIWA,2020
154,32,JAWA BARAT,3205,KABUPATEN GARUT,60 - 64,PEREMPUAN,41124,JIWA,2020
155,32,JAWA BARAT,3205,KABUPATEN GARUT,65 - 69,LAKI-LAKI,27859,JIWA,2020
156,32,JAWA BARAT,3205,KABUPATEN GARUT,65 - 69,PEREMPUAN,25863,JIWA,2020
157,32,JAWA BARAT,3205,KABUPATEN GARUT,70 - 74,LAKI-LAKI,16748,JIWA,2020
158,32,JAWA BARAT,3205,KABUPATEN GARUT,70 - 74,PEREMPUAN,16918,JIWA,2020
159,32,JAWA BARAT,3205,KABUPATEN GARUT,75+,LAKI-LAKI,19654,JIWA,2020
160,32,JAWA BARAT,3205,KABUPATEN GARUT,75+,PEREMPUAN,19167,JIWA,2020
